dataset,pathway_id,pathway_name,mask_rate,trial,method,n_pathway_metabolites,n_observed,n_masked,oracle_metabolite,predicted_metabolite,oracle_gain,predicted_gain,regret,normalized_regret,is_top1,is_top3,is_top5
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,62,imputation,7,5,2,4-hydroxy-proline,4-hydroxy-proline,5.189539559200987,5.189539559200987,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,63,imputation,7,5,2,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,64,imputation,7,5,2,Urea,Urea,1505.5859471035865,1505.5859471035865,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,65,imputation,7,5,2,Arginine,Arginine,2.533868371002132,2.533868371002132,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,66,imputation,7,5,2,Urea,Urea,1505.5859471035865,1505.5859471035865,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,67,imputation,7,5,2,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,68,imputation,7,5,2,Ornithine,Ornithine,1.1950212559690272,1.1950212559690272,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,69,imputation,7,5,2,creatinine,creatinine,83.99139224984401,83.99139224984401,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,70,imputation,7,5,2,Urea,Urea,1505.5859471035865,1505.5859471035865,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,71,imputation,7,5,2,Urea,Urea,1505.5859471035865,1505.5859471035865,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,72,imputation,7,5,2,Arginine,Arginine,2.533868371002132,2.533868371002132,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,73,imputation,7,5,2,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,74,imputation,7,5,2,Urea,Urea,1505.5859471035865,1505.5859471035865,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,75,imputation,7,5,2,creatinine,creatinine,83.99139224984401,83.99139224984401,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,76,imputation,7,5,2,Urea,Urea,1505.5859471035865,1505.5859471035865,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,77,imputation,7,5,2,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,78,imputation,7,5,2,Arginine,Arginine,2.533868371002132,2.533868371002132,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,79,imputation,7,5,2,4-hydroxy-proline,4-hydroxy-proline,5.189539559200987,5.189539559200987,0.0,0.0,1,1,1
